msn,work_order,point_id,rail,dx_value (mm),dy_value (mm),dz_value (mm)
11626,1017140574,FR035_MR0254R_RJ_0001_NFF,254R,-0.06,-2.74,-1.87
11626,1017140574,FR035_MR0765L_SJ_0007_NFF,765L,0.50,-0.71,-0.06
11626,1017140574,FR035_MR0765R_SJ_0007_NFF,765R,-0.04,-1.88,0.41
11627,1017297347,FR035_MR1292L_SJ_0015_NFF,1292L,-0.18,0.31,0.31
11627,1017297347,FR035_MR1292R_SJ_0015_NFF,1292R,0.18,-0.44,0.16
11627,1017297347,FR035_MR0254L_RJ_0001_NFF,254L,-0.17,0.57,-1.42
11627,1017297347,FR035_MR0254R_RJ_0001_NFF,254R,-1.00,0.24,-1.26
11627,1017297347,FR035_MR0765L_SJ_0007_NFF,765L,-0.40,0.79,-0.97
11627,1017297347,FR035_MR0765R_SJ_0007_NFF,765R,-0.04,0.07,-0.55
11629,1016570101,FR035_MR1292L_SJ_0015_NFF,1292L,0.13,1.72,0.69
11629,1016570101,FR035_MR1292R_SJ_0015_NFF,1292R,-0.13,-0.72,0.72
11629,1016570101,FR035_MR0254L_RJ_0001_NFF,254L,0.07,1.71,0.10
11629,1016570101,FR035_MR0254R_RJ_0001_NFF,254R,0.04,-0.68,-1.09
11629,1016570101,FR035_MR0765L_SJ_0007_NFF,765L,-0.11,1.21,1.01
11629,1016570101,FR035_MR0765R_SJ_0007_NFF,765R,-0.80,-0.66,0.10
11633,1016452858,FR035_MR1292L_SJ_0015_NFF,1292L,-0.47,0.37,0.94
11633,1016452858,FR035_MR1292R_SJ_0015_NFF,1292R,0.47,-0.51,0.27
11633,1016452858,FR035_MR0254L_RJ_0001_NFF,254L,0.31,-0.88,-0.66
11633,1016452858,FR035_MR0254R_RJ_0001_NFF,254R,1.05,-1.26,-0.11
11633,1016452858,FR035_MR0765L_SJ_0007_NFF,765L,-0.53,-0.13,0.96
11633,1016452858,FR035_MR0765R_SJ_0007_NFF,765R,0.23,-0.33,0.85
11635,1016426663,FR035_MR1292L_SJ_0015_NFF,1292L,-0.31,0.97,0.81
11635,1016426663,FR035_MR1292R_SJ_0015_NFF,1292R,0.31,-0.34,-0.12
11635,1016426663,FR035_MR0254L_RJ_0001_NFF,254L,0.41,-0.01,-1.10
11635,1016426663,FR035_MR0254R_RJ_0001_NFF,254R,-0.32,-1.76,-1.51
11635,1016426663,FR035_MR0765L_SJ_0007_NFF,765L,-0.20,0.98,-0.25
11635,1016426663,FR035_MR0765R_SJ_0007_NFF,765R,0.02,-0.38,0.79
11636,1017166944,FR035_MR1292L_SJ_0015_NFF,1292L,-0.50,-0.34,1.28
11636,1017166944,FR035_MR1292R_SJ_0015_NFF,1292R,0.50,-0.08,-0.32
11636,1017166944,FR035_MR0254L_RJ_0001_NFF,254L,0.60,1.79,-1.01
11636,1017166944,FR035_MR0254R_RJ_0001_NFF,254R,0.91,0.26,-0.70
11636,1017166944,FR035_MR0765L_SJ_0007_NFF,765L,0.49,-0.11,0.32
11636,1017166944,FR035_MR0765R_SJ_0007_NFF,765R,-0.04,0.73,-0.32
11637,1017209179,FR035_MR1292L_SJ_0015_NFF,1292L,0.09,0.97,0.19
11637,1017209179,FR035_MR1292R_SJ_0015_NFF,1292R,-0.09,-1.47,0.61
11637,1017209179,FR035_MR0254L_RJ_0001_NFF,254L,0.50,0.63,-1.85
11637,1017209179,FR035_MR0254R_RJ_0001_NFF,254R,-1.00,-1.12,-2.72
11637,1017209179,FR035_MR0765L_SJ_0007_NFF,765L,-0.12,0.81,-0.77
11637,1017209179,FR035_MR0765R_SJ_0007_NFF,765R,0.30,-1.90,-0.92
11639,1016784283,FR035_MR1292L_SJ_0015_NFF,1292L,0.06,0.00,0.38
11639,1016784283,FR035_MR1292R_SJ_0015_NFF,1292R,-0.06,-0.85,0.44
11639,1016784283,FR035_MR0254L_RJ_0001_NFF,254L,0.10,0.15,-1.47
11639,1016784283,FR035_MR0254R_RJ_0001_NFF,254R,-0.32,0.03,-1.42
11639,1016784283,FR035_MR0765L_SJ_0007_NFF,765L,-0.16,0.00,0.01
